
======================================================================
MECCA VISIBILITY vs KUALA BELAIT IMPOSSIBILITY EXPERIMENT
Analyzing years 1000-6000 AH
======================================================================

Calculating ground truths for Mecca...
Evaluating C from -100 to 100...

======================================================================
RESULTS TABLE (C, Mecca Acc, KB Imp)
======================================================================
 C | Mecca Acc | KB Imp   | Notes
---|-----------|----------|------
-100| 0.00%    | 100.00%    |
-99| 0.00%    | 100.00%    |
-98| 0.00%    | 100.00%    |
-97| 0.00%    | 100.00%    |
-96| 0.00%    | 100.00%    |
-95| 0.00%    | 100.00%    |
-94| 0.00%    | 100.00%    |
-93| 0.00%    | 100.00%    |
-92| 0.00%    | 100.00%    |
-91| 0.00%    | 100.00%    |
-90| 0.00%    | 100.00%    |
-89| 0.00%    | 100.00%    |
-88| 0.00%    | 100.00%    |
-87| 0.00%    | 100.00%    |
-86| 0.00%    | 100.00%    |
-85| 0.00%    | 100.00%    |
-84| 0.00%    | 100.00%    |
-83| 0.00%    | 100.00%    |
-82| 0.00%    | 100.00%    |
-81| 0.00%    | 100.00%    |
-80| 0.00%    | 100.00%    |
-79| 0.00%    | 100.00%    |
-78| 0.00%    | 100.00%    |
-77| 0.00%    | 100.00%    |
-76| 0.00%    | 100.00%    |
-75| 0.00%    | 100.00%    |
-74| 0.00%    | 100.00%    |
-73| 0.00%    | 100.00%    |
-72| 0.00%    | 100.00%    |
-71| 0.00%    | 100.00%    |
-70| 0.00%    | 100.00%    |
-69| 0.00%    | 100.00%    |
-68| 0.00%    | 100.00%    |
-67| 0.00%    | 100.00%    |
-66| 0.00%    | 100.00%    |
-65| 0.00%    | 100.00%    |
-64| 0.00%    | 100.00%    |
-63| 0.00%    | 100.00%    |
-62| 0.00%    | 100.00%    |
-61| 0.00%    | 100.00%    |
-60| 0.00%    | 100.00%    |
-59| 0.00%    | 100.00%    |
-58| 0.00%    | 99.99%    |
-57| 0.00%    | 99.99%    |
-56| 0.00%    | 99.99%    |
-55| 0.00%    | 99.98%    |
-54| 0.00%    | 99.97%    |
-53| 0.00%    | 99.96%    |
-52| 0.00%    | 99.95%    |
-51| 0.00%    | 99.94%    |
-50| 0.00%    | 99.92%    |
-49| 0.00%    | 99.89%    |
-48| 0.01%    | 99.86%    |
-47| 0.01%    | 99.82%    |
-46| 0.02%    | 99.78%    |
-45| 0.02%    | 99.73%    |
-44| 0.03%    | 99.66%    |
-43| 0.05%    | 99.59%    |
-42| 0.07%    | 99.50%    |
-41| 0.09%    | 99.41%    |
-40| 0.12%    | 99.29%    |
-39| 0.15%    | 99.16%    |
-38| 0.20%    | 99.00%    |
-37| 0.26%    | 98.83%    |
-36| 0.33%    | 98.65%    |
-35| 0.40%    | 98.44%    |
-34| 0.49%    | 98.20%    |
-33| 0.60%    | 97.95%    |
-32| 0.72%    | 97.65%    |
-31| 0.87%    | 97.32%    |
-30| 1.03%    | 96.96%    |
-29| 1.21%    | 96.55%    |
-28| 1.41%    | 96.14%    |
-27| 1.64%    | 95.67%    |
-26| 1.91%    | 95.16%    |
-25| 2.18%    | 94.60%    |
-24| 2.49%    | 94.00%    |
-23| 2.85%    | 93.35%    |
-22| 3.24%    | 92.68%    |
