| FP | Slope | Phase (round) | Oblig Matches | Total Matches |
| :--- | :--- | :--- | :--- | :--- |
| 5 | 29.53057 | -0.11631 | 20346 (67.82%) | 81408 (67.84%) |
| 6 | 29.530573 | -0.278962 | 20698 (68.99%) | 82763 (68.97%) |
| 7 | 29.5305733 | -0.3152752 | 20707 (69.02%) | 82814 (69.01%) |
| 8 | 29.53057329 | -0.31475692 | 20707 (69.02%) | 82813 (69.01%) |
| 9 | 29.530573295 | -0.315148230 | 20709 (69.03%) | 82819 (69.02%) |
| 10 | 29.5305732952 | -0.3151664512 | 20709 (69.03%) | 82820 (69.02%) |
| 11 | 29.53057329517 | -0.31516571152 | 20709 (69.03%) | 82820 (69.02%) |
| 12 | 29.530573295163 | -0.315165538928 | 20709 (69.03%) | 82820 (69.02%) |
| 13 | 29.5305732951626 | -0.3151655290656 | 20709 (69.03%) | 82820 (69.02%) |
| 14 | 29.53057329516261 | -0.31516552931216 | 20709 (69.03%) | 82820 (69.02%) |
| 15 | 29.530573295162593 | -0.315165528893008 | 20709 (69.03%) | 82820 (69.02%) |
