lat,lon,best_c,min_diff
-50,-180,0,150
-50,-150,0,146
-50,-120,0,141
-50,-90,1,135
-50,-60,3,128
-50,-30,5,133
-50,0,7,135
-50,30,11,133
-50,60,12,132
-50,90,16,135
-50,120,18,131
-50,150,18,134
-50,180,23,134
-25,-180,0,156
-25,-150,0,143
-25,-120,0,136
-25,-90,0,134
-25,-60,3,133
-25,-30,3,126
-25,0,6,133
-25,30,7,134
-25,60,11,130
-25,90,14,128
-25,120,14,123
-25,150,18,128
-25,180,18,132
0,-180,0,161
0,-150,0,138
0,-120,0,132
0,-90,0,126
0,-60,3,118
0,-30,3,118
0,0,3,132
0,30,7,128
0,60,11,120
0,90,14,116
0,120,14,113
0,150,16,122
0,180,22,121
25,-180,0,151
25,-150,0,125
25,-120,0,126
25,-90,0,121
25,-60,5,114
25,-30,5,116
25,0,7,123
25,30,10,125
25,60,11,118
25,90,14,118
25,120,14,113
25,150,16,116
25,180,22,121
50,-180,0,142
50,-150,0,126
50,-120,1,117
50,-90,1,116
50,-60,5,119
50,-30,7,118
50,0,7,124
50,30,10,130
50,60,14,120
50,90,18,119
50,120,18,117
50,150,22,125
50,180,23,118
