
======================================================================
MECCA VISIBILITY vs KUALA BELAIT IMPOSSIBILITY EXPERIMENT (OBLIGATORY MONTHS)
Analyzing years 1000-6000 AH
======================================================================

Calculating ground truths for Mecca...
Evaluating C from -100 to 100...

======================================================================
RESULTS TABLE (C, Mecca Acc, KB Imp)
======================================================================
 C | Mecca Acc | KB Imp   | Notes
---|-----------|----------|------
-100| 0.00%    | 100.00%    |
-99| 0.00%    | 100.00%    |
-98| 0.00%    | 100.00%    |
-97| 0.00%    | 100.00%    |
-96| 0.00%    | 100.00%    |
-95| 0.00%    | 100.00%    |
-94| 0.00%    | 100.00%    |
-93| 0.00%    | 100.00%    |
-92| 0.00%    | 100.00%    |
-91| 0.00%    | 100.00%    |
-90| 0.00%    | 100.00%    |
-89| 0.00%    | 100.00%    |
-88| 0.00%    | 100.00%    |
-87| 0.00%    | 100.00%    |
-86| 0.00%    | 100.00%    |
-85| 0.00%    | 100.00%    |
-84| 0.00%    | 100.00%    |
-83| 0.00%    | 100.00%    |
-82| 0.00%    | 100.00%    |
-81| 0.00%    | 100.00%    |
-80| 0.00%    | 100.00%    |
-79| 0.00%    | 100.00%    |
-78| 0.00%    | 100.00%    |
-77| 0.00%    | 100.00%    |
-76| 0.00%    | 100.00%    |
-75| 0.00%    | 100.00%    |
-74| 0.00%    | 100.00%    |
-73| 0.00%    | 100.00%    |
-72| 0.00%    | 100.00%    |
-71| 0.00%    | 100.00%    |
-70| 0.00%    | 100.00%    |
-69| 0.00%    | 100.00%    |
-68| 0.00%    | 100.00%    |
-67| 0.00%    | 100.00%    |
-66| 0.00%    | 100.00%    |
-65| 0.00%    | 100.00%    |
-64| 0.00%    | 100.00%    |
-63| 0.00%    | 100.00%    |
-62| 0.00%    | 100.00%    |
-61| 0.00%    | 100.00%    |
-60| 0.00%    | 100.00%    |
-59| 0.00%    | 100.00%    |
-58| 0.00%    | 100.00%    |
-57| 0.00%    | 100.00%    |
-56| 0.00%    | 100.00%    |
-55| 0.00%    | 99.99%    |
-54| 0.00%    | 99.99%    |
-53| 0.00%    | 99.99%    |
-52| 0.00%    | 99.99%    |
-51| 0.00%    | 99.98%    |
-50| 0.00%    | 99.97%    |
-49| 0.00%    | 99.97%    |
-48| 0.00%    | 99.95%    |
-47| 0.00%    | 99.93%    |
-46| 0.00%    | 99.92%    |
-45| 0.00%    | 99.88%    |
-44| 0.00%    | 99.84%    |
-43| 0.00%    | 99.80%    |
-42| 0.01%    | 99.75%    |
-41| 0.01%    | 99.69%    |
-40| 0.03%    | 99.59%    |
-39| 0.05%    | 99.49%    |
-38| 0.07%    | 99.39%    |
-37| 0.09%    | 99.27%    |
-36| 0.12%    | 99.12%    |
-35| 0.16%    | 98.97%    |
-34| 0.22%    | 98.76%    |
-33| 0.26%    | 98.55%    |
-32| 0.37%    | 98.31%    |
-31| 0.47%    | 98.03%    |
-30| 0.61%    | 97.71%    |
-29| 0.74%    | 97.34%    |
-28| 0.91%    | 96.96%    |
-27| 1.10%    | 96.55%    |
-26| 1.33%    | 96.11%    |
-25| 1.53%    | 95.64%    |
-24| 1.77%    | 95.10%    |
-23| 2.07%    | 94.49%    |
