Running simulation...
  1000/120000 done, 14.7s
  Current rate: 90.40%
  2000/120000 done, 29.1s
  3000/120000 done, 45.1s
  4000/120000 done, 60.0s
  5000/120000 done, 74.4s
  6000/120000 done, 89.0s
  7000/120000 done, 103.7s
  8000/120000 done, 118.0s
  9000/120000 done, 132.2s
  10000/120000 done, 3751.1s
  11000/120000 done, 3770.5s
  12000/120000 done, 3791.8s
  13000/120000 done, 6935.2s
  14000/120000 done, 6951.5s
  15000/120000 done, 6968.2s
  16000/120000 done, 6984.5s
  17000/120000 done, 6999.8s
  18000/120000 done, 7015.2s
  19000/120000 done, 7029.5s
  20000/120000 done, 7044.1s
  21000/120000 done, 7058.6s
  22000/120000 done, 7073.1s
  23000/120000 done, 7087.6s
  24000/120000 done, 7104.1s
  25000/120000 done, 7118.5s
  26000/120000 done, 7133.2s
  27000/120000 done, 7147.6s
  28000/120000 done, 7163.0s
  29000/120000 done, 7178.0s
  30000/120000 done, 7192.6s
  31000/120000 done, 7207.0s
  32000/120000 done, 7223.7s
  33000/120000 done, 7238.1s
  34000/120000 done, 7252.5s
  35000/120000 done, 7268.3s
  36000/120000 done, 7283.1s
  37000/120000 done, 7297.8s
  38000/120000 done, 7313.1s
  39000/120000 done, 7328.1s
  40000/120000 done, 7348.4s
  41000/120000 done, 7362.9s
  42000/120000 done, 7378.4s
  43000/120000 done, 7392.9s
  44000/120000 done, 7407.3s
  45000/120000 done, 7421.6s
  46000/120000 done, 7436.4s
  47000/120000 done, 7451.4s
  48000/120000 done, 7465.8s
  49000/120000 done, 7483.5s
  50000/120000 done, 7497.8s
  51000/120000 done, 7512.3s
  52000/120000 done, 7526.7s
  53000/120000 done, 7541.0s
  54000/120000 done, 7555.2s
  55000/120000 done, 7569.5s
  56000/120000 done, 7583.8s
  57000/120000 done, 7599.2s
  58000/120000 done, 7614.4s
  59000/120000 done, 7628.5s
  60000/120000 done, 7642.6s
  61000/120000 done, 7656.8s
  62000/120000 done, 7671.0s
  63000/120000 done, 7685.2s
  64000/120000 done, 7699.4s
  65000/120000 done, 7714.5s
  66000/120000 done, 7731.0s
  67000/120000 done, 7745.3s
  68000/120000 done, 7759.7s
  69000/120000 done, 7774.2s
  70000/120000 done, 7788.6s
  71000/120000 done, 7802.9s
  72000/120000 done, 7817.1s
  73000/120000 done, 7831.8s
  74000/120000 done, 7847.4s
  75000/120000 done, 7863.2s
  76000/120000 done, 7877.3s
  77000/120000 done, 7891.4s
  78000/120000 done, 7905.5s
  79000/120000 done, 7919.8s
  80000/120000 done, 7934.6s
  81000/120000 done, 7948.9s
  82000/120000 done, 7963.0s
  83000/120000 done, 7979.1s
  84000/120000 done, 7993.3s
  85000/120000 done, 8008.1s
  86000/120000 done, 8022.4s
  87000/120000 done, 8036.5s
  88000/120000 done, 8050.6s
  89000/120000 done, 8064.5s
  90000/120000 done, 8079.4s
  91000/120000 done, 8093.6s
  92000/120000 done, 8109.9s
  93000/120000 done, 8124.1s
  94000/120000 done, 8138.5s
  95000/120000 done, 8152.7s
  96000/120000 done, 8166.5s
  97000/120000 done, 8180.4s
  98000/120000 done, 8194.2s
  99000/120000 done, 8208.3s
  100000/120000 done, 8222.4s
  101000/120000 done, 8238.1s
  102000/120000 done, 8251.9s
  103000/120000 done, 8265.7s
  104000/120000 done, 8279.5s
  105000/120000 done, 8293.3s
  106000/120000 done, 8307.0s
  107000/120000 done, 8320.7s
  108000/120000 done, 8334.4s
  109000/120000 done, 8348.1s
  110000/120000 done, 8362.7s
  111000/120000 done, 8376.8s
  112000/120000 done, 8391.1s
