Hijri Year,Hijri Month,Gregorian Date
1400,1,1979-11-21
1400,2,1979-12-21
1400,3,1980-01-19
1400,4,1980-02-18
1400,5,1980-03-18
1400,6,1980-04-16
1400,7,1980-05-16
1400,8,1980-06-14
1400,9,1980-07-14
1400,10,1980-08-12
1400,11,1980-09-11
1400,12,1980-10-11
1401,1,1980-11-09
1401,2,1980-12-09
1401,3,1981-01-08
1401,4,1981-02-06
1401,5,1981-03-08
1401,6,1981-04-06
1401,7,1981-05-05
1401,8,1981-06-04
1401,9,1981-07-03
1401,10,1981-08-02
1401,11,1981-08-31
1401,12,1981-09-30
1402,1,1981-10-29
1402,2,1981-11-28
1402,3,1981-12-28
1402,4,1982-01-27
1402,5,1982-02-25
1402,6,1982-03-27
1402,7,1982-04-25
1402,8,1982-05-24
1402,9,1982-06-23
1402,10,1982-07-22
1402,11,1982-08-20
1402,12,1982-09-19
1403,1,1982-10-18
1403,2,1982-11-17
1403,3,1982-12-17
1403,4,1983-01-16
1403,5,1983-02-14
1403,6,1983-03-16
1403,7,1983-04-15
1403,8,1983-05-14
1403,9,1983-06-13
1403,10,1983-07-12
1403,11,1983-08-10
1403,12,1983-09-08
1404,1,1983-10-08
1404,2,1983-11-06
1404,3,1983-12-06
1404,4,1984-01-05
1404,5,1984-02-03
1404,6,1984-03-04
1404,7,1984-04-03
1404,8,1984-05-03
1404,9,1984-06-01
1404,10,1984-06-30
1404,11,1984-07-30
1404,12,1984-08-28
1405,1,1984-09-26
1405,2,1984-10-26
1405,3,1984-11-24
1405,4,1984-12-24
1405,5,1985-01-22
1405,6,1985-02-21
1405,7,1985-03-23
1405,8,1985-04-22
1405,9,1985-05-21
1405,10,1985-06-20
1405,11,1985-07-19
1405,12,1985-08-18
1406,1,1985-09-16
1406,2,1985-10-16
1406,3,1985-11-14
1406,4,1985-12-13
1406,5,1986-01-12
1406,6,1986-02-10
1406,7,1986-03-12
1406,8,1986-04-11
1406,9,1986-05-10
1406,10,1986-06-09
1406,11,1986-07-09
1406,12,1986-08-07
1407,1,1986-09-06
1407,2,1986-10-05
1407,3,1986-11-04
1407,4,1986-12-03
1407,5,1987-01-01
1407,6,1987-01-31
1407,7,1987-03-01
1407,8,1987-03-31
1407,9,1987-04-29
1407,10,1987-05-29
1407,11,1987-06-28
1407,12,1987-07-27
1408,1,1987-08-26
1408,2,1987-09-25
1408,3,1987-10-24
1408,4,1987-11-23
1408,5,1987-12-22
1408,6,1988-01-21
1408,7,1988-02-19
1408,8,1988-03-19
1408,9,1988-04-18
1408,10,1988-05-17
1408,11,1988-06-16
1408,12,1988-07-15
1409,1,1988-08-14
1409,2,1988-09-13
1409,3,1988-10-13
1409,4,1988-11-11
1409,5,1988-12-11
1409,6,1989-01-09
1409,7,1989-02-08
1409,8,1989-03-09
1409,9,1989-04-07
1409,10,1989-05-07
1409,11,1989-06-05
1409,12,1989-07-05
1410,1,1989-08-03
1410,2,1989-09-02
1410,3,1989-10-02
1410,4,1989-10-31
1410,5,1989-11-30
1410,6,1989-12-30
1410,7,1990-01-28
1410,8,1990-02-27
1410,9,1990-03-28
1410,10,1990-04-26
1410,11,1990-05-26
1410,12,1990-06-24
1411,1,1990-07-23
1411,2,1990-08-22
1411,3,1990-09-21
1411,4,1990-10-20
1411,5,1990-11-19
1411,6,1990-12-19
1411,7,1991-01-18
1411,8,1991-02-16
1411,9,1991-03-18
1411,10,1991-04-16
1411,11,1991-05-15
1411,12,1991-06-14
1412,1,1991-07-13
1412,2,1991-08-12
1412,3,1991-09-10
1412,4,1991-10-10
1412,5,1991-11-08
1412,6,1991-12-08
1412,7,1992-01-07
1412,8,1992-02-05
1412,9,1992-03-06
1412,10,1992-04-05
1412,11,1992-05-04
1412,12,1992-06-03
1413,1,1992-07-02
1413,2,1992-07-31
1413,3,1992-08-30
1413,4,1992-09-28
1413,5,1992-10-27
1413,6,1992-11-26
1413,7,1992-12-26
1413,8,1993-01-24
1413,9,1993-02-23
1413,10,1993-03-25
1413,11,1993-04-23
1413,12,1993-05-23
1414,1,1993-06-21
1414,2,1993-07-21
1414,3,1993-08-19
1414,4,1993-09-18
1414,5,1993-10-17
1414,6,1993-11-15
1414,7,1993-12-15
1414,8,1994-01-13
1414,9,1994-02-12
1414,10,1994-03-14
1414,11,1994-04-12
1414,12,1994-05-12
1415,1,1994-06-11
1415,2,1994-07-10
1415,3,1994-08-09
1415,4,1994-09-07
1415,5,1994-10-07
1415,6,1994-11-05
1415,7,1994-12-04
1415,8,1995-01-03
1415,9,1995-02-01
1415,10,1995-03-03
1415,11,1995-04-02
1415,12,1995-05-01
1416,1,1995-05-31
1416,2,1995-06-30
1416,3,1995-07-29
1416,4,1995-08-28
1416,5,1995-09-26
1416,6,1995-10-26
1416,7,1995-11-24
1416,8,1995-12-23
1416,9,1996-01-22
1416,10,1996-02-20
1416,11,1996-03-21
1416,12,1996-04-19
1417,1,1996-05-19
1417,2,1996-06-18
1417,3,1996-07-17
1417,4,1996-08-16
1417,5,1996-09-14
1417,6,1996-10-14
1417,7,1996-11-13
1417,8,1996-12-12
1417,9,1997-01-10
1417,10,1997-02-09
1417,11,1997-03-10
1417,12,1997-04-09
1418,1,1997-05-08
1418,2,1997-06-07
1418,3,1997-07-06
1418,4,1997-08-05
